c_classid;c_instanceid;c_price;c_offers;c_popularity;c_rarity;c_quality;c_heroid;c_slot;c_market_name;c_name_color;c_pop
310776527;188530139;11990;4;232;"Армейское качество";"Немного поношенное";17;Обыч.;"M4A1-S | Кровавый тигр (Немного поношенное)";D2D2D2;767
310776528;188530139;34000;2;56;Запрещенное;"Немного поношенное";19;Обыч.;"USP-S | Камуфляж (Немного поношенное)";D2D2D2;1240
310776531;188530139;13383;3;142;Запрещенное;"Прямо с завода";17;Обыч.;"AK-47 | Синий ламинат (Прямо с завода)";D2D2D2;1119
310776535;0;1014;3;4;Ширпотреб;"После полевых испытаний";75;Обыч.;"M249 | Пиксельный камуфляж «Джунгли» (После полевы";D2D2D2;1000
310776543;0;141;21;106;Ширпотреб;"После полевых испытаний";17;Обыч.;"Galil AR | Белое напыление (После полевых испытани";D2D2D2;511
310776543;302028390;100;25;1053;Ширпотреб;"После полевых испытаний";17;Обыч.;"Galil AR | Белое напыление (После полевых испытаний)";D2D2D2;780
310776545;0;500;4;12;Ширпотреб;"После полевых испытаний";3;Обыч.;"P90 | Ожоги (После полевых испытаний)";D2D2D2;842
310776546;188530139;2669;5;91;"Армейское качество";"Немного поношенное";19;Обыч.;"Five-SeveN | Ками (Немного поношенное)";D2D2D2;916
310776552;188530139;6295;2;42;Запрещенное;"Прямо с завода";49;Обыч.;"Nova | Графит (Прямо с завода)";D2D2D2;938
310776554;0;1000;2;2;Ширпотреб;"Прямо с завода";3;Обыч.;"ПП-19 Бизон | Городская штриховка (Прямо с завода)";D2D2D2;461
310776556;188530139;3000;40;770;"Армейское качество";"После полевых испытаний";17;Обыч.;"Galil AR | Песчаная буря (После полевых испытаний)";D2D2D2;253
310776557;0;130;14;83;Ширпотреб;Поношенное;19;Обыч.;"Dual Berettas | Колония (Поношенное)";D2D2D2;638
310776558;0;100;9;83;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Песчаная штриховка (После полевых ис";D2D2D2;650
310776558;302028390;100;75;772;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Песчаная штриховка (После полевых испытаний)";D2D2D2;750
310776560;0;100;53;1083;Ширпотреб;"После полевых испытаний";49;Обыч.;"Nova | Полярная сетка (После полевых испытаний)";D2D2D2;800
310776563;188530139;7297;12;157;Запрещенное;"Прямо с завода";3;Обыч.;"MP9 | Гипнотический (Прямо с завода)";D2D2D2;997
310776566;0;1408;49;3719;"Промышленное качество";"После полевых испытаний";47;Обыч.;"AWP | Африканская сетка (После полевых испытаний)";D2D2D2;655
310776567;0;100;25;96;Ширпотреб;"Немного поношенное";47;Обыч.;"G3SG1 | Полярный камуфляж (Немного поношенное)";D2D2D2;860
310776570;0;100;87;1617;Ширпотреб;"После полевых испытаний";19;Обыч.;"P250 | Северный лес (После полевых испытаний)";D2D2D2;820
310776571;0;7115;5;3;"Промышленное качество";"Прямо с завода";17;Обыч.;"AUG | Осужденный (Прямо с завода)";D2D2D2;1067
310776573;0;100;107;300;Ширпотреб;"После полевых испытаний";3;Обыч.;"MP9 | Песчаная штриховка (После полевых испытаний)";D2D2D2;750
310776577;0;110;10;27;Ширпотреб;"После полевых испытаний";3;Обыч.;"UMP-45 | Пиксельный камуфляж «Город» (После полевы";D2D2D2;564
310776577;302028390;100;41;317;Ширпотреб;"После полевых испытаний";3;Обыч.;"UMP-45 | Пиксельный камуфляж «Город» (После полевых испытаний)";D2D2D2;420
310776579;188530139;3598;5;199;"Армейское качество";"После полевых испытаний";17;Обыч.;"M4A4 | Тусклые полосы (После полевых испытаний)";D2D2D2;797
310776580;0;141;16;74;Ширпотреб;"После полевых испытаний";47;Обыч.;"G3SG1 | Тропическая штриховка (После полевых испыт";D2D2D2;404
310776580;302028390;100;58;580;Ширпотреб;"После полевых испытаний";47;Обыч.;"G3SG1 | Тропическая штриховка (После полевых испытаний)";D2D2D2;710
310776584;0;489;30;119;"Промышленное качество";"После полевых испытаний";17;Обыч.;"Galil AR | Смешанный камуфляж (После полевых испыт";D2D2D2;389
310776584;302028390;489;36;198;"Промышленное качество";"После полевых испытаний";17;Обыч.;"Galil AR | Смешанный камуфляж (После полевых испытаний)";D2D2D2;409
310776586;0;888;6;227;"Промышленное качество";"После полевых испытаний";49;Обыч.;"XM1014 | Вороненая сталь (После полевых испытаний)";D2D2D2;233
310776590;0;166;41;1423;Ширпотреб;"После полевых испытаний";17;Обыч.;"AUG | Наемник (После полевых испытаний)";D2D2D2;325
310776593;0;318;8;75;"Промышленное качество";"Прямо с завода";3;Обыч.;"ПП-19 Бизон | Ночные операции (Прямо с завода)";D2D2D2;1013
310776595;0;100;199;272;Ширпотреб;"После полевых испытаний";47;Обыч.;"G3SG1 | Песчаная буря (После полевых испытаний)";D2D2D2;780
310776596;0;3355;4;1;"Промышленное качество";"Закаленное в боях";47;Обыч.;"SSG 08 | Тропическая гроза (Закаленное в боях)";D2D2D2;829
310776598;188530139;10800;15;7;"Армейское качество";"Немного поношенное";47;Обыч.;"G3SG1 | Витраж (Немного поношенное)";D2D2D2;384
310776603;188530139;9898;3;337;"Армейское качество";"Прямо с завода";17;Обыч.;"AUG | Крылья (Прямо с завода)";D2D2D2;375
310776612;0;100;74;290;Ширпотреб;"После полевых испытаний";49;Обыч.;"Nova | Хищник (После полевых испытаний)";D2D2D2;810
310776613;0;480;7;118;Ширпотреб;"Немного поношенное";3;Обыч.;"MP7 | Армейский спецназ (Немного поношенное)";D2D2D2;194
310776620;0;211;16;176;"Промышленное качество";"Немного поношенное";3;Обыч.;"P90 | Ясень (Немного поношенное)";D2D2D2;1009
310776621;188530139;41000;6;169;Засекреченное;"После полевых испытаний";17;Обыч.;"AK-47 | Красный глянец (После полевых испытаний)";D2D2D2;893
310776622;188530139;7700;3;11;"Армейское качество";"После полевых испытаний";47;Обыч.;"SCAR-20 | Кровавая паутина (После полевых испытани";D2D2D2;471
310776628;0;26000;1;9;"Армейское качество";Поношенное;17;Обыч.;"M4A4 | Радиационная опасность (Поношенное)";D2D2D2;1095
310776629;188530139;9600;4;27;"Армейское качество";"Прямо с завода";19;Обыч.;"P250 | Улей (Прямо с завода)";D2D2D2;703
310776630;188530139;160000;4;66;Тайное;"Немного поношенное";47;Обыч.;"SSG 08 | Кровь в воде (Немного поношенное)";D2D2D2;1265
310776632;0;100;17;108;Ширпотреб;"Немного поношенное";47;Обыч.;"SCAR-20 | Наемник (Немного поношенное)";D2D2D2;120
310776635;188530139;7997;2;34;"Армейское качество";"Прямо с завода";19;Обыч.;"P250 | Ржавая сталь (Прямо с завода)";D2D2D2;190
310776637;188530139;27998;2;66;Запрещенное;"Немного поношенное";17;Обыч.;"M4A4 | Зірка (Немного поношенное)";D2D2D2;905
310776642;0;1940;5;265;"Промышленное качество";"Немного поношенное";17;Обыч.;"M4A1-S | Северный лес (Немного поношенное)";D2D2D2;1124
310776650;0;1800;5;61;"Армейское качество";"Прямо с завода";49;Обыч.;"Sawed-Off | Янтарный градиент (Прямо с завода)";D2D2D2;563
310776654;188530139;9900;8;126;"Армейское качество";"Прямо с завода";17;Обыч.;"M4A1-S | Кровавый тигр (Прямо с завода)";D2D2D2;1220
310776658;188530139;38885;5;256;Запрещенное;"Прямо с завода";19;Обыч.;"Glock-18 | Татуировка дракона (Прямо с завода)";D2D2D2;931
310776668;0;100;68;661;Ширпотреб;"После полевых испытаний";3;Обыч.;"MP7 | Армейский спецназ (После полевых испытаний)";D2D2D2;740
310776670;0;1800;1;6;"Армейское качество";"После полевых испытаний";49;Обыч.;"Sawed-Off | Янтарный градиент (После полевых испыт";D2D2D2;252
310776670;302028390;1900;4;87;"Армейское качество";"После полевых испытаний";49;Обыч.;"Sawed-Off | Янтарный градиент (После полевых испытаний)";D2D2D2;242
310776672;0;100;387;221;Ширпотреб;"После полевых испытаний";47;Обыч.;"SCAR-20 | Песчаная сетка (После полевых испытаний)";D2D2D2;730
310776675;188530144;4900;29;0;"Армейское качество";"Прямо с завода";17;StatTrak™;"StatTrak™ Galil AR | Синий титан (Прямо с завода)";CF6A32;1000
310776676;0;5500;1;1;Ширпотреб;"Закаленное в боях";75;Обыч.;"M249 | Пиксельный камуфляж «Джунгли» (Закаленное в";D2D2D2;354
310776678;0;51999;1;13;"Армейское качество";"Прямо с завода";17;Обыч.;"AUG | Анодированная синева (Прямо с завода)";D2D2D2;918
310776681;0;6787;1;1;Ширпотреб;"Закаленное в боях";49;Обыч.;"XM1014 | Джунгли (Закаленное в боях)";D2D2D2;232
310776691;0;150;1;3;Ширпотреб;"Немного поношенное";3;Обыч.;"ПП-19 Бизон | Песчаная штриховка (Немного поношенн";D2D2D2;553
310776691;302028390;100;22;71;Ширпотреб;"Немного поношенное";3;Обыч.;"ПП-19 Бизон | Песчаная штриховка (Немного поношенное)";D2D2D2;830
310776693;0;180;8;92;Ширпотреб;"Закаленное в боях";49;Обыч.;"Nova | Песчаные дюны (Закаленное в боях)";D2D2D2;444
310776706;0;6900;2;6;Ширпотреб;"После полевых испытаний";17;Обыч.;"SG 553 | Смерч (После полевых испытаний)";D2D2D2;917
310776711;0;450;8;103;"Промышленное качество";"Прямо с завода";49;Обыч.;"MAG-7 | Пиксельный камуфляж «Металлический» (Прямо";D2D2D2;564
310776711;302028390;806;10;234;"Промышленное качество";"Прямо с завода";49;Обыч.;"MAG-7 | Пиксельный камуфляж «Металлический» (Прямо с завода)";D2D2D2;335
310776717;0;141;21;99;Ширпотреб;"После полевых испытаний";47;Обыч.;"G3SG1 | Полярный камуфляж (После полевых испытаний";D2D2D2;511
310776717;302028390;100;63;657;Ширпотреб;"После полевых испытаний";47;Обыч.;"G3SG1 | Полярный камуфляж (После полевых испытаний)";D2D2D2;740
310776718;0;297;26;321;"Промышленное качество";"Немного поношенное";3;Обыч.;"MAC-10 | Карамельное яблоко (Немного поношенное)";D2D2D2;815
310776722;0;100;16;33;Ширпотреб;Поношенное;19;Обыч.;"P250 | Песчаные дюны (Поношенное)";D2D2D2;840
310776726;0;840;157;1891;"Промышленное качество";"После полевых испытаний";17;Обыч.;"M4A1-S | Северный лес (После полевых испытаний)";D2D2D2;940
310776730;188530139;18700;3;113;Запрещенное;"После полевых испытаний";19;Обыч.;"Five-SeveN | Поверхностная закалка (После полевых ";D2D2D2;1177
310776735;0;2273;8;86;"Армейское качество";"Прямо с завода";19;Обыч.;"Desert Eagle | Городской щебень (Прямо с завода)";D2D2D2;484
310776737;0;3951;13;760;"Армейское качество";"Прямо с завода";47;Обыч.;"SSG 08 | Кислотный градиент (Прямо с завода)";D2D2D2;1017
310776743;188530139;8500;2;17;Запрещенное;"Немного поношенное";19;Обыч.;"Dual Berettas | Гемоглобин (Немного поношенное)";D2D2D2;783
310776745;188530139;8750;7;146;Запрещенное;"Немного поношенное";17;Обыч.;"FAMAS | Пульс (Немного поношенное)";D2D2D2;943
310776747;0;3085;1;2;Ширпотреб;"Немного поношенное";3;Обыч.;"MP7 | Грунтовая вода (Немного поношенное)";D2D2D2;778
310776749;188530139;19900;1;48;Запрещенное;"Немного поношенное";19;Обыч.;"P250 | Пятно (Немного поношенное)";D2D2D2;915
310776751;188530139;4298;7;29;"Армейское качество";"Прямо с завода";47;Обыч.;"G3SG1 | Лазурная зебра (Прямо с завода)";D2D2D2;493
310776753;188530139;2192;46;222;"Армейское качество";"Прямо с завода";17;Обыч.;"Galil AR | Синий титан (Прямо с завода)";D2D2D2;808
310776755;188530139;10100;4;204;Запрещенное;"После полевых испытаний";17;Обыч.;"AK-47 | Синий ламинат (После полевых испытаний)";D2D2D2;1060
310776765;0;100;18;55;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Городская штриховка (После полевых и";D2D2D2;800
310776765;302028390;100;322;532;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Городская штриховка (После полевых испытаний)";D2D2D2;730
310776767;0;269;14;340;"Промышленное качество";"Прямо с завода";47;Обыч.;"SCAR-20 | Углепластик (Прямо с завода)";D2D2D2;1112
310776773;0;282;130;910;"Промышленное качество";"После полевых испытаний";17;Обыч.;"AUG | Осужденный (После полевых испытаний)";D2D2D2;791
310776778;0;100;14;117;Ширпотреб;"Немного поношенное";49;Обыч.;"Nova | Песчаные дюны (Немного поношенное)";D2D2D2;840
310776780;0;4025;2;5;"Промышленное качество";"После полевых испытаний";75;Обыч.;"Negev | Пальма (После полевых испытаний)";D2D2D2;801
310776784;0;100;389;1495;Ширпотреб;"После полевых испытаний";19;Обыч.;"Five-SeveN | Лесная ночь (После полевых испытаний)";D2D2D2;800
310776786;0;24800;1;69;"Армейское качество";"После полевых испытаний";17;Обыч.;"M4A4 | Радиационная опасность (После полевых испыт";D2D2D2;1092
310776787;0;2200;1;3;Ширпотреб;"После полевых испытаний";49;Обыч.;"MAG-7 | Песчаные дюны (После полевых испытаний)";D2D2D2;251
310776798;0;5300;8;4;"Промышленное качество";"Закаленное в боях";17;Обыч.;"M4A4 | Смерч (Закаленное в боях)";D2D2D2;493
310776804;0;2996;2;22;"Армейское качество";"После полевых испытаний";19;Обыч.;"Desert Eagle | Городской щебень (После полевых исп";D2D2D2;183
310776804;302028390;2097;4;158;"Армейское качество";"После полевых испытаний";19;Обыч.;"Desert Eagle | Городской щебень (После полевых испытаний)";D2D2D2;245
310776810;188530139;53900;5;355;Засекреченное;"Прямо с завода";19;Обыч.;"Desert Eagle | Гипнотический (Прямо с завода)";D2D2D2;928
310776816;0;3285;1;9;"Промышленное качество";"После полевых испытаний";47;Обыч.;"SSG 08 | Тропическая гроза (После полевых испытани";D2D2D2;858
310776817;0;490000;1;342;"Армейское качество";"Прямо с завода";19;Обыч.;"Glock-18 | Карамельное яблоко (Прямо с завода)";D2D2D2;7
310776825;0;100;99;1395;Ширпотреб;"После полевых испытаний";19;Обыч.;"Dual Berettas | Наемник (После полевых испытаний)";D2D2D2;620
310776826;0;3169;7;115;Запрещенное;"После полевых испытаний";19;Обыч.;"P2000 | Янтарный градиент (После полевых испытаний";D2D2D2;765
310776826;302028390;2605;11;112;Запрещенное;"После полевых испытаний";19;Обыч.;"P2000 | Янтарный градиент (После полевых испытаний)";D2D2D2;933
310776829;188530139;17270;6;22;Запрещенное;"После полевых испытаний";17;Обыч.;"Galil AR | Пиксельный камуфляж «Ржавчина» (После п";D2D2D2;795
310776832;188530139;21890;1;24;Запрещенное;"Прямо с завода";49;Обыч.;"Nova | Восходящий череп (Прямо с завода)";D2D2D2;526
310776834;0;1900;2;4;Ширпотреб;"После полевых испытаний";3;Обыч.;"MP7 | Грунтовая вода (После полевых испытаний)";D2D2D2;488
310776840;0;100;117;546;Ширпотреб;"После полевых испытаний";47;Обыч.;"SCAR-20 | Наемник (После полевых испытаний)";D2D2D2;720
310776847;188530139;33792;3;105;Запрещенное;"Немного поношенное";19;Обыч.;"USP-S | Темная вода (Немного поношенное)";D2D2D2;998
310776853;0;2729;2;94;"Армейское качество";"Немного поношенное";17;Обыч.;"FAMAS | Демонтаж (Немного поношенное)";D2D2D2;557
310776859;0;440;13;159;Ширпотреб;"Закаленное в боях";47;Обыч.;"SSG 08 | Голубая хвоя (Закаленное в боях)";D2D2D2;189
310776860;188530139;799998;2;36;"Армейское качество";"Немного поношенное";49;Обыч.;"Nova | Буря (Немного поношенное)";D2D2D2;6
310776866;0;200;16;95;Ширпотреб;"Немного поношенное";17;Обыч.;"AUG | Гроза (Немного поношенное)";D2D2D2;445
310776869;0;2199;9;37;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Радиоактивная опасность (После полев";D2D2D2;432
310776871;188530170;5049;11;10;"Армейское качество";"Немного поношенное";17;StatTrak™;"StatTrak™ Galil AR | Песчаная буря (Немного поноше";CF6A32;1035
310776874;0;5817;1;2;Ширпотреб;"Закаленное в боях";3;Обыч.;"MP9 | Сезон засухи (Закаленное в боях)";D2D2D2;513
310776875;0;480;3;4;Ширпотреб;"После полевых испытаний";17;Обыч.;"AUG | Колония (После полевых испытаний)";D2D2D2;731
310776880;0;719;57;513;"Промышленное качество";"После полевых испытаний";3;Обыч.;"MP9 | Апельсиновая корка (После полевых испытаний)";D2D2D2;278
310776887;0;100;10;66;Ширпотреб;"Закаленное в боях";19;Обыч.;"P250 | Северный лес (Закаленное в боях)";D2D2D2;780
310776888;188530144;9000;1;11;"Армейское качество";"После полевых испытаний";3;StatTrak™;"StatTrak™ ПП-19 Бизон | Знак воды (После полевых и";CF6A32;610
310776893;188530170;9900;2;3;"Армейское качество";"После полевых испытаний";49;StatTrak™;"StatTrak™ MAG-7 | Объемные шестиугольники (После п";CF6A32;895
310776895;0;5999;1;0;Ширпотреб;Поношенное;75;Обыч.;"M249 | Пиксельный камуфляж «Джунгли» (Поношенное)";D2D2D2;246
310776903;0;2025;4;6;Ширпотреб;"Немного поношенное";49;Обыч.;"Nova | Грецкий орех (Немного поношенное)";D2D2D2;1092
310776904;0;100;71;1360;Ширпотреб;"После полевых испытаний";17;Обыч.;"FAMAS | Колония (После полевых испытаний)";D2D2D2;780
310776905;0;6600;2;7;Ширпотреб;"После полевых испытаний";3;Обыч.;"UMP-45 | Карамель (После полевых испытаний)";D2D2D2;1005
310776909;0;1200;17;2;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Лесные листья (После полевых испытан";D2D2D2;605
310776911;188530144;6940;1;15;"Армейское качество";"После полевых испытаний";75;StatTrak™;"StatTrak™ M249 | Магма (После полевых испытаний)";CF6A32;297
310776914;0;2300;1;11;Ширпотреб;"После полевых испытаний";49;Обыч.;"Sawed-Off | Радиоактивная опасность (После полевых";D2D2D2;403
310776915;0;2000000;1;0;Ширпотреб;"Немного поношенное";3;Обыч.;"MAC-10 | Пиксельный камуфляж «Город» (Немного поно";D2D2D2;2
310776922;0;3006;1;12;Ширпотреб;"После полевых испытаний";49;Обыч.;"XM1014 | Городская перфорация (После полевых испыт";D2D2D2;1179
310776927;188530139;3950;6;21;"Армейское качество";"После полевых испытаний";17;Обыч.;"FAMAS | Смертенок (После полевых испытаний)";D2D2D2;718
310776930;0;2700;2;5;Ширпотреб;"Немного поношенное";47;Обыч.;"SSG 08 | Лишайниковая штриховка (Немного поношенно";D2D2D2;1010
310776936;0;1550;2;23;"Промышленное качество";"После полевых испытаний";19;Обыч.;"P250 | Пороховой дым (После полевых испытаний)";D2D2D2;543
310776940;188530170;10000;2;4;"Армейское качество";"После полевых испытаний";19;StatTrak™;"StatTrak™ Dual Berettas | Черная лимба (После поле";CF6A32;1000
310776941;0;979;6;4;Ширпотреб;"После полевых испытаний";49;Обыч.;"XM1014 | Цвет луга (После полевых испытаний)";D2D2D2;697
310776942;0;1900000;1;6;Ширпотреб;"После полевых испытаний";17;Обыч.;"FAMAS | Контрастные цвета (После полевых испытаний";D2D2D2;1
310776946;188530144;5000;6;0;"Армейское качество";"Немного поношенное";17;StatTrak™;"StatTrak™ FAMAS | Смертенок (Немного поношенное)";CF6A32;1000
310776948;0;200;62;2955;Ширпотреб;"После полевых испытаний";47;Обыч.;"SSG 08 | Голубая хвоя (После полевых испытаний)";D2D2D2;385
310776953;0;3000;1;7;Ширпотреб;"После полевых испытаний";19;Обыч.;"Tec-9 | Смерч (После полевых испытаний)";D2D2D2;586
310776954;188530139;53500;13;379;Засекреченное;"После полевых испытаний";47;Обыч.;"AWP | Красная линия (После полевых испытаний)";D2D2D2;1095
310776957;188530139;29500;2;45;Запрещенное;"Немного поношенное";19;Обыч.;"Five-SeveN | Поверхностная закалка (Немного поноше";D2D2D2;1198
310776967;0;140;10;113;Ширпотреб;"Немного поношенное";49;Обыч.;"Nova | Полярная сетка (Немного поношенное)";D2D2D2;593
310776969;0;151;13;91;Ширпотреб;"Немного поношенное";17;Обыч.;"Galil AR | Белое напыление (Немного поношенное)";D2D2D2;556
310776977;188530139;24298;3;307;Запрещенное;"Немного поношенное";17;Обыч.;"M4A1-S | Чистая вода (Немного поношенное)";D2D2D2;976
310776980;0;3200;1;5;Ширпотреб;"После полевых испытаний";3;Обыч.;"MAC-10 | Пиксельный камуфляж «Город» (После полевы";D2D2D2;1001
310776983;188530139;4188;3;91;"Армейское качество";"Прямо с завода";19;Обыч.;"Five-SeveN | Ками (Прямо с завода)";D2D2D2;726
310776984;188530170;55000;1;4;Запрещенное;"Немного поношенное";19;StatTrak™;"StatTrak™ P250 | Пятно (Немного поношенное)";CF6A32;1201
310776987;0;100;19;40;Ширпотреб;Поношенное;3;Обыч.;"P90 | Песчаное напыление (Поношенное)";D2D2D2;780
310776989;0;1389;17;60;"Промышленное качество";"Закаленное в боях";19;Обыч.;"P2000 | Мраморный гранит (Закаленное в боях)";D2D2D2;140
310777000;188530139;43900;5;89;Засекреченное;"Прямо с завода";17;Обыч.;"M4A1-S | Страж (Прямо с завода)";D2D2D2;1169
310777005;0;7045;1;1;"Промышленное качество";"Немного поношенное";75;Обыч.;"Negev | Пальма (Немного поношенное)";D2D2D2;915
310777007;0;4200;1;96;"Промышленное качество";"После полевых испытаний";17;Обыч.;"AK-47 | Хищник (После полевых испытаний)";D2D2D2;500
310777010;188530139;27500;1;34;Запрещенное;"После полевых испытаний";17;Обыч.;"M4A4 | Зірка (После полевых испытаний)";D2D2D2;929
310777023;0;1685;1;6;Ширпотреб;Поношенное;3;Обыч.;"P90 | Ожоги (Поношенное)";D2D2D2;1106
310777025;0;160;16;71;Ширпотреб;"Немного поношенное";19;Обыч.;"Dual Berettas | Колония (Немного поношенное)";D2D2D2;525
310777026;188530139;20000;1;16;"Армейское качество";"Немного поношенное";19;Обыч.;"Five-SeveN | Паслен (Немного поношенное)";D2D2D2;169
310777030;0;4600;5;41;"Промышленное качество";"После полевых испытаний";17;Обыч.;"M4A4 | Тигр в джунглях (После полевых испытаний)";D2D2D2;450
310777035;0;290;165;4347;"Промышленное качество";"После полевых испытаний";19;Обыч.;"USP-S | Лесные листья (После полевых испытаний)";D2D2D2;690
310777036;188530139;218800;1;5;"Армейское качество";"Прямо с завода";3;Обыч.;"ПП-19 Бизон | Знак воды (Прямо с завода)";D2D2D2;10
310777038;0;100;18;137;Ширпотреб;"Закаленное в боях";19;Обыч.;"Dual Berettas | Наемник (Закаленное в боях)";D2D2D2;830
310777045;188530139;8299;2;64;Запрещенное;"Прямо с завода";3;Обыч.;"P90 | Слепое пятно (Прямо с завода)";D2D2D2;884
310777047;188530139;30290;2;51;Засекреченное;"Прямо с завода";3;Обыч.;"P90 | Хладнокровный (Прямо с завода)";D2D2D2;1225
310777050;0;4875;1;0;"Промышленное качество";"Закаленное в боях";47;Обыч.;"SSG 08 | Мечты Майя (Закаленное в боях)";D2D2D2;989
310777065;0;168;13;144;Ширпотреб;"Немного поношенное";17;Обыч.;"AUG | Наемник (Немного поношенное)";D2D2D2;506
310777071;0;2260;1;1;Ширпотреб;"Немного поношенное";49;Обыч.;"MAG-7 | Песчаные дюны (Немного поношенное)";D2D2D2;825
310777078;188530139;26390;4;353;Тайное;"После полевых испытаний";49;Обыч.;"Sawed-Off | Кракен (После полевых испытаний)";D2D2D2;893
310777080;188530139;49900;4;56;Тайное;"Прямо с завода";17;Обыч.;"M4A4 | Рентген (Прямо с завода)";D2D2D2;1042
310777085;0;624;27;137;"Промышленное качество";"Немного поношенное";17;Обыч.;"Galil AR | Смешанный камуфляж (Немного поношенное)";D2D2D2;442
310777092;0;5300;2;3;"Промышленное качество";"После полевых испытаний";47;Обыч.;"G3SG1 | Арктический камуфляж (После полевых испыта";D2D2D2;780
310777098;188530139;21800;2;25;Запрещенное;"Закаленное в боях";19;Обыч.;"Five-SeveN | Поверхностная закалка (Закаленное в б";D2D2D2;841
310777099;0;1588;14;9;Ширпотреб;"После полевых испытаний";49;Обыч.;"Nova | Грецкий орех (После полевых испытаний)";D2D2D2;378
310777105;0;167;80;526;Ширпотреб;"После полевых испытаний";17;Обыч.;"AUG | Гроза (После полевых испытаний)";D2D2D2;467
310777109;0;33500;1;20;"Армейское качество";"Немного поношенное";17;Обыч.;"AK-47 | Черный глянец (Немного поношенное)";D2D2D2;1312
310777118;0;100;165;475;Ширпотреб;"После полевых испытаний";19;Обыч.;"Tec-9 | Армейская сетка (После полевых испытаний)";D2D2D2;750
310777121;188530139;38490;12;150;Засекреченное;"Немного поношенное";17;Обыч.;"M4A1-S | Страж (Немного поношенное)";D2D2D2;1161
310777124;0;2575;2;5;"Промышленное качество";"После полевых испытаний";75;Обыч.;"Negev | Калифорнийский камуфляж (После полевых исп";D2D2D2;1190
310777133;0;100;22;142;Ширпотреб;Поношенное;19;Обыч.;"Dual Berettas | Наемник (Поношенное)";D2D2D2;690
310777137;0;6445;1;13;Запрещенное;Поношенное;19;Обыч.;"Dual Berettas | Подрыв (Поношенное)";D2D2D2;991
310777140;0;9999;4;97;Запрещенное;Поношенное;17;Обыч.;"M4A1-S | Нитро (Поношенное)";D2D2D2;1035
310777142;0;2975;3;9;"Промышленное качество";"После полевых испытаний";17;Обыч.;"SG 553 | Крокодиловая сетка (После полевых испытан";D2D2D2;889
310777143;0;144;13;90;Ширпотреб;"Немного поношенное";19;Обыч.;"Tec-9 | Грунтовая вода (Немного поношенное)";D2D2D2;701
310777146;188530139;73200;13;134;Засекреченное;"Немного поношенное";47;Обыч.;"AWP | Красная линия (Немного поношенное)";D2D2D2;1331
310777152;188530139;399900;1;9;"Армейское качество";"Прямо с завода";49;Обыч.;"MAG-7 | Объемные шестиугольники (Прямо с завода)";D2D2D2;17
310777155;0;800;2;7;"Промышленное качество";Поношенное;49;Обыч.;"Sawed-Off | Змеиная кожа (Поношенное)";D2D2D2;403
